epoch,w_img,w_txt,q_img,q_txt,use_mqm,use_aqg,fixed_weight,n_aspects,noise_ratio,noise_mode
0,0.524309,0.475691,0.551652,0.489578,1,1,0,4,0.0,none
1,0.492213,0.507787,0.516966,0.489283,1,1,0,4,0.0,none
2,0.520200,0.479800,0.564171,0.484552,1,1,0,4,0.0,none
3,0.548436,0.451564,0.632631,0.478652,1,1,0,4,0.0,none
4,0.568510,0.431490,0.706960,0.470696,1,1,0,4,0.0,none
5,0.587169,0.412831,0.778224,0.459730,1,1,0,4,0.0,none
6,0.605240,0.394760,0.841081,0.449525,1,1,0,4,0.0,none
7,0.620600,0.379400,0.880850,0.437223,1,1,0,4,0.0,none
8,0.632163,0.367837,0.908427,0.424250,1,1,0,4,0.0,none
9,0.638568,0.361433,0.927940,0.409526,1,1,0,4,0.0,none
10,0.644270,0.355730,0.946075,0.395609,1,1,0,4,0.0,none
11,0.650329,0.349671,0.959853,0.379810,1,1,0,4,0.0,none
12,0.658079,0.341921,0.969372,0.364141,1,1,0,4,0.0,none
13,0.665847,0.334153,0.977924,0.347849,1,1,0,4,0.0,none
14,0.672724,0.327276,0.983816,0.330448,1,1,0,4,0.0,none
15,0.678941,0.321059,0.987387,0.315745,1,1,0,4,0.0,none
16,0.681112,0.318888,0.990034,0.303596,1,1,0,4,0.0,none
17,0.683723,0.316277,0.992159,0.285994,1,1,0,4,0.0,none
18,0.685638,0.314362,0.993503,0.272858,1,1,0,4,0.0,none
19,0.691098,0.308902,0.994480,0.258861,1,1,0,4,0.0,none
20,0.694021,0.305979,0.995439,0.246659,1,1,0,4,0.0,none
21,0.699020,0.300980,0.995814,0.232828,1,1,0,4,0.0,none
22,0.701656,0.298344,0.996252,0.220594,1,1,0,4,0.0,none
23,0.704834,0.295166,0.996545,0.209381,1,1,0,4,0.0,none
24,0.706017,0.293983,0.996812,0.200733,1,1,0,4,0.0,none
25,0.708693,0.291307,0.997050,0.190196,1,1,0,4,0.0,none
26,0.710893,0.289107,0.997300,0.181690,1,1,0,4,0.0,none
27,0.713166,0.286834,0.997417,0.173790,1,1,0,4,0.0,none
28,0.714874,0.285126,0.997382,0.166604,1,1,0,4,0.0,none
29,0.716209,0.283791,0.997531,0.158935,1,1,0,4,0.0,none
