epoch,w_img,w_txt,q_img,q_txt,use_mqm,use_aqg,fixed_weight,n_aspects,noise_ratio,noise_mode
0,0.520895,0.479105,0.555093,0.489321,1,1,0,8,0.0,none
1,0.501680,0.498320,0.525294,0.488709,1,1,0,8,0.0,none
2,0.521485,0.478515,0.569988,0.484203,1,1,0,8,0.0,none
3,0.544156,0.455844,0.635983,0.478457,1,1,0,8,0.0,none
4,0.564420,0.435580,0.710940,0.470427,1,1,0,8,0.0,none
5,0.584018,0.415982,0.783249,0.459233,1,1,0,8,0.0,none
6,0.601981,0.398019,0.846361,0.448727,1,1,0,8,0.0,none
7,0.615786,0.384214,0.885382,0.436187,1,1,0,8,0.0,none
8,0.626403,0.373597,0.912711,0.422957,1,1,0,8,0.0,none
9,0.633849,0.366151,0.932585,0.407900,1,1,0,8,0.0,none
10,0.640568,0.359432,0.950824,0.393573,1,1,0,8,0.0,none
11,0.646963,0.353037,0.964091,0.377408,1,1,0,8,0.0,none
12,0.653727,0.346273,0.973157,0.361365,1,1,0,8,0.0,none
13,0.660336,0.339664,0.980849,0.344739,1,1,0,8,0.0,none
14,0.666366,0.333634,0.986040,0.326882,1,1,0,8,0.0,none
15,0.671517,0.328483,0.989068,0.311689,1,1,0,8,0.0,none
16,0.674310,0.325690,0.991374,0.298954,1,1,0,8,0.0,none
17,0.677852,0.322148,0.993129,0.280804,1,1,0,8,0.0,none
18,0.680438,0.319562,0.994241,0.267240,1,1,0,8,0.0,none
19,0.684856,0.315144,0.995045,0.252820,1,1,0,8,0.0,none
20,0.687790,0.312210,0.995874,0.240253,1,1,0,8,0.0,none
21,0.691932,0.308068,0.996180,0.226002,1,1,0,8,0.0,none
22,0.694670,0.305330,0.996558,0.213410,1,1,0,8,0.0,none
23,0.697564,0.302436,0.996822,0.201817,1,1,0,8,0.0,none
24,0.699165,0.300835,0.997054,0.192783,1,1,0,8,0.0,none
25,0.701763,0.298237,0.997262,0.181951,1,1,0,8,0.0,none
26,0.703905,0.296095,0.997494,0.173095,1,1,0,8,0.0,none
27,0.705914,0.294086,0.997599,0.164925,1,1,0,8,0.0,none
28,0.707594,0.292406,0.997564,0.157375,1,1,0,8,0.0,none
29,0.709113,0.290887,0.997705,0.149462,1,1,0,8,0.0,none
