epoch,w_img,w_txt,q_img,q_txt,use_mqm,use_aqg,fixed_weight,n_aspects,noise_ratio,noise_mode
0,0.500000,0.500000,0.594796,0.487490,1,1,1,4,0.0,none
1,0.500000,0.500000,0.595540,0.486083,1,1,1,4,0.0,none
2,0.500000,0.500000,0.594021,0.485811,1,1,1,4,0.0,none
3,0.500000,0.500000,0.594142,0.486260,1,1,1,4,0.0,none
4,0.500000,0.500000,0.593635,0.486610,1,1,1,4,0.0,none
5,0.500000,0.500000,0.594459,0.484785,1,1,1,4,0.0,none
6,0.500000,0.500000,0.594720,0.485479,1,1,1,4,0.0,none
7,0.500000,0.500000,0.594882,0.485590,1,1,1,4,0.0,none
8,0.500000,0.500000,0.595323,0.485757,1,1,1,4,0.0,none
9,0.500000,0.500000,0.593715,0.484929,1,1,1,4,0.0,none
10,0.500000,0.500000,0.595681,0.486139,1,1,1,4,0.0,none
11,0.500000,0.500000,0.594681,0.485818,1,1,1,4,0.0,none
12,0.500000,0.500000,0.594233,0.486260,1,1,1,4,0.0,none
13,0.500000,0.500000,0.594297,0.485454,1,1,1,4,0.0,none
14,0.500000,0.500000,0.595041,0.485255,1,1,1,4,0.0,none
15,0.500000,0.500000,0.594126,0.484566,1,1,1,4,0.0,none
16,0.500000,0.500000,0.594426,0.486461,1,1,1,4,0.0,none
17,0.500000,0.500000,0.594878,0.484927,1,1,1,4,0.0,none
18,0.500000,0.500000,0.593562,0.484805,1,1,1,4,0.0,none
19,0.500000,0.500000,0.593124,0.484721,1,1,1,4,0.0,none
20,0.500000,0.500000,0.594534,0.485319,1,1,1,4,0.0,none
21,0.500000,0.500000,0.594336,0.484262,1,1,1,4,0.0,none
22,0.500000,0.500000,0.593617,0.484446,1,1,1,4,0.0,none
23,0.500000,0.500000,0.595182,0.484780,1,1,1,4,0.0,none
24,0.500000,0.500000,0.594031,0.485660,1,1,1,4,0.0,none
25,0.500000,0.500000,0.594094,0.484745,1,1,1,4,0.0,none
26,0.500000,0.500000,0.593216,0.484767,1,1,1,4,0.0,none
27,0.500000,0.500000,0.595038,0.484959,1,1,1,4,0.0,none
28,0.500000,0.500000,0.593935,0.485523,1,1,1,4,0.0,none
29,0.500000,0.500000,0.595090,0.483846,1,1,1,4,0.0,none
