epoch,w_img,w_txt,q_img,q_txt,use_mqm,use_aqg,fixed_weight,n_aspects,noise_ratio,noise_mode
0,0.517737,0.482263,0.560052,0.488950,1,0,0,4,0.0,none
1,0.512518,0.487482,0.537898,0.487647,1,0,0,4,0.0,none
2,0.524098,0.475902,0.580157,0.483245,1,0,0,4,0.0,none
3,0.542130,0.457870,0.647193,0.477309,1,0,0,4,0.0,none
4,0.564035,0.435965,0.727671,0.468534,1,0,0,4,0.0,none
5,0.585892,0.414108,0.805249,0.456175,1,0,0,4,0.0,none
6,0.604135,0.395865,0.869156,0.444427,1,0,0,4,0.0,none
7,0.616508,0.383492,0.907083,0.430559,1,0,0,4,0.0,none
8,0.626115,0.373885,0.932878,0.415749,1,0,0,4,0.0,none
9,0.634207,0.365793,0.950621,0.399051,1,0,0,4,0.0,none
10,0.641447,0.358553,0.965634,0.383013,1,0,0,4,0.0,none
11,0.647840,0.352160,0.975655,0.365281,1,0,0,4,0.0,none
12,0.653232,0.346768,0.981858,0.347866,1,0,0,4,0.0,none
13,0.658432,0.341568,0.987168,0.330211,1,0,0,4,0.0,none
14,0.663495,0.336505,0.990591,0.311104,1,0,0,4,0.0,none
15,0.667576,0.332424,0.992578,0.294744,1,0,0,4,0.0,none
16,0.671031,0.328969,0.994085,0.280630,1,0,0,4,0.0,none
17,0.675568,0.324432,0.995315,0.261240,1,0,0,4,0.0,none
18,0.678863,0.321137,0.996037,0.246845,1,0,0,4,0.0,none
19,0.682242,0.317758,0.996555,0.231805,1,0,0,4,0.0,none
20,0.685150,0.314850,0.997129,0.218885,1,0,0,4,0.0,none
21,0.688345,0.311655,0.997337,0.204234,1,0,0,4,0.0,none
22,0.691140,0.308860,0.997585,0.191403,1,0,0,4,0.0,none
23,0.693682,0.306318,0.997767,0.179645,1,0,0,4,0.0,none
24,0.695659,0.304341,0.997936,0.170428,1,0,0,4,0.0,none
25,0.697981,0.302019,0.998082,0.159586,1,0,0,4,0.0,none
26,0.699861,0.300139,0.998228,0.150770,1,0,0,4,0.0,none
27,0.701557,0.298443,0.998318,0.142728,1,0,0,4,0.0,none
28,0.703146,0.296854,0.998292,0.135145,1,0,0,4,0.0,none
29,0.704745,0.295255,0.998390,0.127523,1,0,0,4,0.0,none
