epoch,w_img,w_txt,q_img,q_txt,use_mqm,use_aqg,fixed_weight,n_aspects,noise_ratio,noise_mode
0,0.509153,0.490847,0.500000,0.500000,0,1,0,4,0.0,none
1,0.485342,0.514658,0.500000,0.500000,0,1,0,4,0.0,none
2,0.500789,0.499211,0.500000,0.500000,0,1,0,4,0.0,none
3,0.511112,0.488888,0.500000,0.500000,0,1,0,4,0.0,none
4,0.511356,0.488644,0.500000,0.500000,0,1,0,4,0.0,none
5,0.510389,0.489611,0.500000,0.500000,0,1,0,4,0.0,none
6,0.511384,0.488616,0.500000,0.500000,0,1,0,4,0.0,none
7,0.514892,0.485108,0.500000,0.500000,0,1,0,4,0.0,none
8,0.517338,0.482662,0.500000,0.500000,0,1,0,4,0.0,none
9,0.515793,0.484207,0.500000,0.500000,0,1,0,4,0.0,none
10,0.513993,0.486007,0.500000,0.500000,0,1,0,4,0.0,none
11,0.513165,0.486835,0.500000,0.500000,0,1,0,4,0.0,none
12,0.515534,0.484466,0.500000,0.500000,0,1,0,4,0.0,none
13,0.518257,0.481743,0.500000,0.500000,0,1,0,4,0.0,none
14,0.520428,0.479572,0.500000,0.500000,0,1,0,4,0.0,none
15,0.523170,0.476830,0.500000,0.500000,0,1,0,4,0.0,none
16,0.522032,0.477968,0.500000,0.500000,0,1,0,4,0.0,none
17,0.520147,0.479853,0.500000,0.500000,0,1,0,4,0.0,none
18,0.518793,0.481207,0.500000,0.500000,0,1,0,4,0.0,none
19,0.521562,0.478438,0.500000,0.500000,0,1,0,4,0.0,none
20,0.521804,0.478196,0.500000,0.500000,0,1,0,4,0.0,none
21,0.524392,0.475608,0.500000,0.500000,0,1,0,4,0.0,none
22,0.524513,0.475487,0.500000,0.500000,0,1,0,4,0.0,none
23,0.525456,0.474544,0.500000,0.500000,0,1,0,4,0.0,none
24,0.524927,0.475073,0.500000,0.500000,0,1,0,4,0.0,none
25,0.525466,0.474534,0.500000,0.500000,0,1,0,4,0.0,none
26,0.525762,0.474238,0.500000,0.500000,0,1,0,4,0.0,none
27,0.526766,0.473234,0.500000,0.500000,0,1,0,4,0.0,none
28,0.527305,0.472695,0.500000,0.500000,0,1,0,4,0.0,none
29,0.527092,0.472908,0.500000,0.500000,0,1,0,4,0.0,none
