epoch,w_img,w_txt,q_img,q_txt,use_mqm,use_aqg,fixed_weight,n_aspects,noise_ratio,noise_mode
0,0.524157,0.475843,0.551212,0.489605,1,1,0,4,0.1,gaussian
1,0.492114,0.507886,0.516686,0.489321,1,1,0,4,0.1,gaussian
2,0.519756,0.480244,0.562737,0.484652,1,1,0,4,0.1,gaussian
3,0.547420,0.452580,0.629166,0.478873,1,1,0,4,0.1,gaussian
4,0.567156,0.432844,0.702043,0.470986,1,1,0,4,0.1,gaussian
5,0.585768,0.414232,0.773306,0.460043,1,1,0,4,0.1,gaussian
6,0.604472,0.395528,0.838127,0.449776,1,1,0,4,0.1,gaussian
7,0.620362,0.379638,0.880006,0.437401,1,1,0,4,0.1,gaussian
8,0.632146,0.367854,0.908895,0.424416,1,1,0,4,0.1,gaussian
9,0.638767,0.361233,0.929545,0.409597,1,1,0,4,0.1,gaussian
10,0.644572,0.355428,0.948024,0.395561,1,1,0,4,0.1,gaussian
11,0.650705,0.349295,0.961754,0.379722,1,1,0,4,0.1,gaussian
12,0.658325,0.341675,0.971117,0.363965,1,1,0,4,0.1,gaussian
13,0.665973,0.334027,0.979287,0.347655,1,1,0,4,0.1,gaussian
14,0.672947,0.327053,0.984894,0.330180,1,1,0,4,0.1,gaussian
15,0.679182,0.320818,0.988246,0.315474,1,1,0,4,0.1,gaussian
16,0.681321,0.318679,0.990692,0.303344,1,1,0,4,0.1,gaussian
17,0.683834,0.316166,0.992661,0.285728,1,1,0,4,0.1,gaussian
18,0.685662,0.314338,0.993890,0.272619,1,1,0,4,0.1,gaussian
19,0.691021,0.308979,0.994785,0.258705,1,1,0,4,0.1,gaussian
20,0.693884,0.306116,0.995687,0.246520,1,1,0,4,0.1,gaussian
21,0.698998,0.301002,0.996033,0.232699,1,1,0,4,0.1,gaussian
22,0.701634,0.298366,0.996444,0.220497,1,1,0,4,0.1,gaussian
23,0.704847,0.295153,0.996708,0.209317,1,1,0,4,0.1,gaussian
24,0.706015,0.293985,0.996962,0.200693,1,1,0,4,0.1,gaussian
25,0.708718,0.291282,0.997187,0.190154,1,1,0,4,0.1,gaussian
26,0.710807,0.289193,0.997411,0.181628,1,1,0,4,0.1,gaussian
27,0.713064,0.286936,0.997520,0.173787,1,1,0,4,0.1,gaussian
28,0.714824,0.285176,0.997487,0.166602,1,1,0,4,0.1,gaussian
29,0.716149,0.283851,0.997627,0.158961,1,1,0,4,0.1,gaussian
