epoch,w_img,w_txt,q_img,q_txt,use_mqm,use_aqg,fixed_weight,n_aspects,noise_ratio,noise_mode
0,0.510140,0.489860,0.517058,0.493791,1,1,0,4,0.0,none
1,0.482129,0.517871,0.460851,0.496675,1,1,0,4,0.0,none
2,0.505825,0.494175,0.557071,0.487165,1,1,0,4,0.0,none
3,0.521530,0.478470,0.639740,0.479360,1,1,0,4,0.0,none
4,0.524022,0.475978,0.673337,0.475402,1,1,0,4,0.0,none
5,0.524517,0.475483,0.679975,0.472402,1,1,0,4,0.0,none
6,0.526223,0.473777,0.682546,0.472545,1,1,0,4,0.0,none
7,0.528874,0.471126,0.675703,0.472380,1,1,0,4,0.0,none
8,0.530010,0.469990,0.665259,0.473044,1,1,0,4,0.0,none
9,0.527984,0.472016,0.659033,0.472509,1,1,0,4,0.0,none
10,0.526855,0.473145,0.659553,0.473233,1,1,0,4,0.0,none
11,0.527555,0.472445,0.667563,0.471775,1,1,0,4,0.0,none
12,0.531794,0.468206,0.689183,0.470354,1,1,0,4,0.0,none
13,0.535120,0.464880,0.701154,0.467628,1,1,0,4,0.0,none
14,0.537485,0.462515,0.710471,0.467446,1,1,0,4,0.0,none
15,0.538268,0.461732,0.688327,0.469527,1,1,0,4,0.0,none
16,0.534125,0.465875,0.649996,0.476448,1,1,0,4,0.0,none
17,0.530080,0.469920,0.619708,0.478454,1,1,0,4,0.0,none
18,0.528088,0.471912,0.609131,0.480238,1,1,0,4,0.0,none
19,0.531642,0.468358,0.619218,0.480214,1,1,0,4,0.0,none
20,0.532959,0.467041,0.632554,0.480304,1,1,0,4,0.0,none
21,0.535029,0.464971,0.628241,0.480481,1,1,0,4,0.0,none
22,0.534240,0.465760,0.619134,0.481899,1,1,0,4,0.0,none
23,0.533890,0.466110,0.606676,0.484518,1,1,0,4,0.0,none
24,0.531109,0.468891,0.582838,0.488366,1,1,0,4,0.0,none
25,0.530956,0.469044,0.566871,0.489905,1,1,0,4,0.0,none
26,0.530750,0.469250,0.554960,0.491606,1,1,0,4,0.0,none
27,0.530569,0.469431,0.543868,0.494302,1,1,0,4,0.0,none
28,0.529508,0.470492,0.529108,0.496989,1,1,0,4,0.0,none
29,0.528787,0.471213,0.521629,0.497063,1,1,0,4,0.0,none
